2021-05-22 21:45:50.0949378 +0800 CST m=+0.045717201 INFO   : query(991) success, no. 1, client 1, latency 0.2494ms
2021-05-22 21:45:50.6025926 +0800 CST m=+0.553372001 INFO   : query(120) success, no. 12, client 3, latency 0.4196ms
2021-05-22 21:45:50.6491175 +0800 CST m=+0.599897001 INFO   : query(495) success, no. 13, client 3, latency 0.4371ms
2021-05-22 21:45:50.6973501 +0800 CST m=+0.648129601 INFO   : query(151) success, no. 14, client 3, latency 0.3237ms
2021-05-22 21:45:50.7468976 +0800 CST m=+0.697677001 INFO   : query(679) success, no. 15, client 3, latency 0.3008ms
2021-05-22 21:45:50.7918173 +0800 CST m=+0.742596701 INFO   : query(773) success, no. 16, client 3, latency 0.3603ms
2021-05-22 21:45:50.8398756 +0800 CST m=+0.790655101 INFO   : query(780) success, no. 17, client 3, latency 0.2941ms
2021-05-22 21:45:50.8871394 +0800 CST m=+0.837918901 INFO   : query(723) success, no. 18, client 3, latency 0.3786ms
2021-05-22 21:45:50.9335567 +0800 CST m=+0.884336201 INFO   : query(168) success, no. 19, client 3, latency 0.4331ms
2021-05-22 21:45:50.9789897 +0800 CST m=+0.929769101 INFO   : query(824) success, no. 20, client 3, latency 0.3082ms
2021-05-22 21:45:50.0947524 +0800 CST m=+0.045531801 INFO   : query(849) success, no. 1, client 4, latency 0.4232ms
2021-05-22 21:45:50.1438752 +0800 CST m=+0.094654601 INFO   : query(152) success, no. 2, client 4, latency 0.4631ms
2021-05-22 21:45:50.195024 +0800 CST m=+0.145803501 INFO   : query(712) success, no. 3, client 4, latency 0.2785ms
2021-05-22 21:45:50.2429089 +0800 CST m=+0.193688301 INFO   : query(313) success, no. 4, client 4, latency 0.2763ms
2021-05-22 21:45:50.2863915 +0800 CST m=+0.237170901 INFO   : query(689) success, no. 5, client 4, latency 0.362ms
2021-05-22 21:45:50.3335864 +0800 CST m=+0.284365801 INFO   : query(388) success, no. 6, client 4, latency 0.3301ms
2021-05-22 21:45:50.3783625 +0800 CST m=+0.329142001 INFO   : query(234) success, no. 7, client 4, latency 0.3513ms
2021-05-22 21:45:50.4243483 +0800 CST m=+0.375127701 INFO   : query(684) success, no. 8, client 4, latency 0.342ms
2021-05-22 21:45:50.4670501 +0800 CST m=+0.417829501 INFO   : query(571) success, no. 9, client 4, latency 0.4824ms
2021-05-22 21:45:50.5114279 +0800 CST m=+0.462207401 INFO   : query(487) success, no. 10, client 4, latency 0.2191ms
2021-05-22 21:45:50.5576655 +0800 CST m=+0.508445001 INFO   : query(159) success, no. 11, client 4, latency 0.381ms
2021-05-22 21:45:50.6030749 +0800 CST m=+0.553854401 INFO   : query(270) success, no. 12, client 4, latency 0.2906ms
2021-05-22 21:45:50.6492714 +0800 CST m=+0.600050801 INFO   : query(174) success, no. 13, client 4, latency 0.2267ms
2021-05-22 21:45:50.6970162 +0800 CST m=+0.647795601 INFO   : query(451) success, no. 14, client 4, latency 0.2769ms
2021-05-22 21:45:50.7466893 +0800 CST m=+0.697468701 INFO   : query(672) success, no. 15, client 4, latency 0.4602ms
2021-05-22 21:45:50.7918126 +0800 CST m=+0.742592001 INFO   : query(549) success, no. 16, client 4, latency 0.2512ms
2021-05-22 21:45:50.8394218 +0800 CST m=+0.790201301 INFO   : query(565) success, no. 17, client 4, latency 0.4339ms
2021-05-22 21:45:50.8862891 +0800 CST m=+0.837068601 INFO   : query(388) success, no. 18, client 4, latency 0.3359ms
2021-05-22 21:45:50.9337933 +0800 CST m=+0.884572701 INFO   : query(392) success, no. 19, client 4, latency 0.3324ms
2021-05-22 21:45:50.97887 +0800 CST m=+0.929649401 INFO   : query(841) success, no. 20, client 4, latency 0.3955ms
